Tournament,Player,Number,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_Prog,Passes_Succ,Dribbles_Att
Premier League,Steve Mounié,24.0,bj BEN,FW,23,66.18320610687023,0.21374045801526717,0.07633587786259542,0.030534351145038167,0.03816793893129771,1.9923664122137406,0.7709923664122137,0.08396946564885496,0.007633587786259542,27.763358778625953,0.3969465648854962,0.2366412213740458,0.48854961832061067,0.2717557251908396,0.24580152671755728,0.061068702290076333,1.2595419847328244,0.19083969465648856,11.83206106870229,19.82442748091603,60.26106870229008,1.0,0.366412213740458,0.7022900763358778
Premier League,Bruno,2.0,es ESP,RB,37,80.44736842105263,0.0,0.02631578947368421,0.0,0.0,0.10526315789473684,0.02631578947368421,0.13157894736842105,0.0,54.10526315789474,1.4210526315789473,1.263157894736842,0.631578947368421,0.005263157894736842,0.005263157894736842,0.03421052631578948,1.3421052631578947,0.15789473684210525,37.0,47.36842105263158,76.88421052631578,2.3947368421052633,0.5,0.6842105263157895
Premier League,Anthony Knockaert,11.0,fr FRA,"RM,LM",26,67.20967741935483,0.08064516129032258,0.11290322580645161,0.0,0.0,1.1774193548387097,0.3387096774193548,0.12903225806451613,0.03225806451612903,36.24193548387097,1.0806451612903225,0.8387096774193549,0.6612903225806451,0.09999999999999999,0.09999999999999999,0.1064516129032258,2.370967741935484,0.27419354838709675,21.483870967741936,28.741935483870968,73.15806451612903,1.9193548387096775,1.403225806451613,2.435483870967742
Premier League,Neil Etheridge,1.0,ph PHI,GK,28,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,35.23684210526316,0.02631578947368421,0.18421052631578946,0.0,0.0,0.0,0.0,0.2894736842105263,0.0,10.921052631578947,31.63157894736842,34.84473684210527,0.0,0.0,0.0
Premier League,Sean Morrison,4.0,eng ENG,CB,27,89.38235294117646,0.029411764705882353,0.08823529411764706,0.0,0.0,1.0,0.23529411764705882,0.17647058823529413,0.0,39.3235294117647,1.0294117647058822,1.5294117647058822,1.3823529411764706,0.15294117647058822,0.15294117647058822,0.10882352941176471,1.0,0.11764705882352941,15.529411764705882,26.794117647058822,57.58529411764705,1.2941176470588236,0.23529411764705882,0.23529411764705882
Premier League,Bruno Ecuele Manga,5.0,ga GAB,CB,30,89.57692307692308,0.019230769230769232,0.009615384615384616,0.0,0.0,0.5673076923076923,0.10576923076923077,0.04807692307692308,0.0,52.98076923076923,1.375,1.6826923076923077,1.4038461538461537,0.05,0.05,0.006730769230769231,0.47115384615384615,0.057692307692307696,33.74038461538461,42.64423076923077,76.78653846153847,1.7403846153846154,0.25961538461538464,0.3269230769230769
Premier League,Joe Bennett,3.0,eng ENG,LB,28,87.96666666666667,0.0,0.03333333333333333,0.0,0.0,0.3333333333333333,0.1,0.16666666666666666,0.0,40.666666666666664,1.6666666666666667,2.0,1.0,0.016666666666666666,0.016666666666666666,0.03333333333333333,1.1,0.06666666666666667,21.3,31.033333333333335,67.91666666666667,1.8666666666666667,0.8,1.1333333333333333
Premier League,Sol Bamba,22.0,ci CIV,"DM,CM",33,88.35714285714286,0.14285714285714285,0.03571428571428571,0.0,0.0,0.7857142857142857,0.25,0.25,0.0,36.32142857142857,2.642857142857143,2.9285714285714284,2.5714285714285716,0.1392857142857143,0.1392857142857143,0.0071428571428571435,0.6428571428571429,0.07142857142857142,13.75,19.964285714285715,68.30714285714285,1.2857142857142858,0.5,0.7142857142857143
Premier League,Josh Murphy,11.0,eng ENG,LM,23,62.6551724137931,0.10344827586206896,0.06896551724137931,0.0,0.0,1.5862068965517242,0.5172413793103449,0.06896551724137931,0.0,23.379310344827587,0.896551724137931,0.3793103448275862,1.0344827586206897,0.1413793103448276,0.1413793103448276,0.13448275862068967,1.896551724137931,0.06896551724137931,7.0,13.482758620689655,48.23103448275862,0.8275862068965517,1.2758620689655173,3.103448275862069
Premier League,Nathaniel Mendez-Laing,19.0,eng ENG,RM,26,49.25,0.2,0.05,0.05,0.05,0.95,0.4,0.0,0.0,22.9,1.7,0.65,0.85,0.10999999999999999,0.06999999999999999,0.075,2.05,0.25,8.45,14.35,59.515,0.9,1.45,2.1
Premier League,Callum Paterson,13.0,sct SCO,CM,23,74.0,0.14814814814814814,0.037037037037037035,0.0,0.0,1.5185185185185186,0.2222222222222222,0.14814814814814814,0.0,29.40740740740741,0.7777777777777778,0.2962962962962963,0.8518518518518519,0.2,0.2,0.1,1.6296296296296295,0.07407407407407407,10.074074074074074,21.48148148148148,48.833333333333336,1.7037037037037037,0.18518518518518517,0.5925925925925926
Premier League,Joe Ralls,8.0,eng ENG,CM,24,69.96428571428571,0.0,0.0,0.0,0.03571428571428571,0.7857142857142857,0.07142857142857142,0.14285714285714285,0.03571428571428571,37.42857142857143,1.6071428571428572,1.0357142857142858,0.75,0.05357142857142858,0.024999999999999998,0.11071428571428574,2.1785714285714284,0.07142857142857142,20.107142857142858,30.857142857142858,63.53928571428572,2.5357142857142856,0.17857142857142858,0.21428571428571427
Premier League,Junior Hoilett,33.0,ca CAN,"LM,RM",28,66.90625,0.09375,0.03125,0.0,0.0,1.25,0.28125,0.125,0.0,26.25,1.25,1.0,1.0625,0.109375,0.109375,0.046875,1.75,0.0625,10.5625,16.78125,64.61875,0.9375,0.71875,1.9375
Premier League,Gary Madine,24.0,eng ENG,FW,27,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.0,2.4,72.0,0.6,0.0,0.0
Premier League,Jermain Defoe,18.0,eng ENG,"FW,RM",35,39.75,0.14285714285714285,0.03571428571428571,0.0,0.0,1.0,0.5714285714285714,0.03571428571428571,0.0,8.285714285714286,0.42857142857142855,0.14285714285714285,0.35714285714285715,0.13214285714285715,0.13214285714285715,0.03928571428571429,1.0,0.14285714285714285,3.5357142857142856,5.035714285714286,56.232142857142854,0.25,0.10714285714285714,0.4642857142857143
Premier League,Pape Souaré,27.0,sn SEN,LB,28,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,90.9,0.0,0.0,0.0
Premier League,Alexander Sørloth,9.0,no NOR,FW,22,53.016949152542374,0.13559322033898305,0.01694915254237288,0.0,0.0,1.1864406779661016,0.4915254237288136,0.05084745762711865,0.0,20.440677966101696,0.5254237288135594,0.1016949152542373,0.3898305084745763,0.20508474576271185,0.20508474576271185,0.1016949152542373,1.4915254237288136,0.13559322033898305,9.254237288135593,13.474576271186441,67.42203389830509,0.7627118644067796,1.0169491525423728,1.7118644067796611
Premier League,Fabricio,31.0,es ESP,GK,30,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.666666666666668,31.333333333333332,76.06666666666666,0.0,0.0,0.0
Premier League,Cyrus Christie,22.0,ie IRL,RB,25,69.57142857142857,0.0,0.03571428571428571,0.0,0.0,0.42857142857142855,0.10714285714285714,0.25,0.0,52.392857142857146,1.5357142857142858,1.0357142857142858,0.8928571428571429,0.010714285714285716,0.010714285714285716,0.042857142857142864,1.4285714285714286,0.10714285714285714,31.071428571428573,43.214285714285715,69.29642857142856,2.1785714285714284,0.9642857142857143,1.7857142857142858
Premier League,Luciano Vietto,19.0,ar ARG,RW,24,44.575,0.075,0.125,0.0,0.0,0.925,0.275,0.075,0.0,22.45,0.7,0.275,0.375,0.12,0.12,0.0925,1.9,0.225,13.55,17.375,78.27250000000001,0.975,0.6,1.275
Premier League,Kevin McDonald,6.0,sct SCO,CM,29,57.0625,0.0,0.0,0.0,0.0,0.25,0.0,0.4375,0.125,43.4375,0.9375,0.5625,0.5625,0.00625,0.00625,0.0125,0.875,0.0,33.1875,39.125,85.65625,1.5,0.0,0.0
Premier League,Stefan Johansen,8.0,no NOR,LM,27,34.75,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.3333333333333333,0.0,24.666666666666668,0.9166666666666666,0.25,0.4166666666666667,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.3333333333333333,0.08333333333333333,16.833333333333332,21.75,78.02499999999999,2.1666666666666665,0.16666666666666666,0.25
Premier League,Jean Seri,24.0,ci CIV,LM,27,74.21333333333334,0.04,0.10666666666666667,0.0,0.0,0.7733333333333333,0.22666666666666666,0.18666666666666668,0.0,73.01333333333334,1.1066666666666667,0.9333333333333333,0.8533333333333334,0.03733333333333333,0.03733333333333333,0.13066666666666668,3.2933333333333334,0.29333333333333333,57.586666666666666,66.61333333333333,85.188,4.013333333333334,0.92,1.2666666666666666
