Tournament,Player,Nation,Age,Min,Shot_Stopping_SoTA,Shot_Stopping_GA,Shot_Stopping_Saves,Shot_Stopping_Save%,Shot_Stopping_PSxG,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist
La Liga,Luca Zidane,fr FRA,23,82.5,4.4,1.7,2.7,53.8,1.56,4.5,10.4,34.33,22.7,5.0,27.689999999999998,29.65,7.2,45.11,39.519999999999996,10.8,1.1,9.940000000000001,0.8,10.739999999999998
La Liga,Matías Dituro,ar ARG,34,90.0,3.5789473684210527,1.131578947368421,2.3947368421052633,68.0763157894737,1.142105263157895,7.973684210526316,21.157894736842106,38.821052631578944,30.94736842105263,3.4473684210526314,50.636842105263156,40.218421052631584,7.447368421052632,71.0078947368421,51.92105263157895,11.894736842105264,0.9473684210526315,7.776315789473686,0.9736842105263158,13.560526315789472
La Liga,Manolo Reina,es ESP,36,90.0,4.456140350877193,1.5087719298245614,2.9473684210526314,68.69122807017543,1.556140350877193,6.684210526315789,17.56140350877193,38.39473684210526,23.526315789473685,4.2631578947368425,52.959649122807015,39.973684210526315,8.666666666666666,56.92456140350877,45.34736842105263,14.964912280701755,0.7017543859649122,5.0,0.6491228070175439,10.97017543859649
La Liga,Fernando Pacheco,es ESP,30,88.77456647398844,4.167630057803469,1.4566473988439306,2.6878612716763004,65.09421965317918,1.3774566473988439,8.77456647398844,19.45086705202312,45.54739884393064,20.398843930635838,2.7630057803468207,61.65491329479768,42.82832369942197,8.728323699421965,79.21445086705202,52.307514450867046,15.520231213872833,0.5028901734104047,3.4421965317919074,0.8786127167630058,12.095953757225432
La Liga,Aitor Fernández,es ESP,31,89.95918367346938,5.122448979591836,1.5408163265306123,3.5918367346938775,68.4530612244898,1.4489795918367347,4.642857142857143,12.795918367346939,37.21938775510205,22.275510204081634,5.224489795918367,40.8234693877551,36.4765306122449,8.306122448979592,43.16632653061225,37.52755102040817,14.642857142857142,0.42857142857142855,3.2132653061224494,1.469387755102041,14.52857142857143
La Liga,Diego López,es ESP,40,89.02479338842976,4.363636363636363,1.4132231404958677,2.9834710743801653,68.11404958677686,1.387603305785124,5.446280991735537,15.090909090909092,37.126446280991736,22.8099173553719,4.148760330578512,43.42148760330578,37.23553719008264,8.537190082644628,58.38512396694215,44.57933884297521,15.884297520661157,0.7355371900826446,4.79504132231405,0.9504132231404959,13.342148760330577
La Liga,Andriy Lunin,ua UKR,23,82.27272727272727,3.6363636363636362,0.8181818181818182,2.6363636363636362,76.64545454545456,1.1545454545454545,4.454545454545454,9.090909090909092,45.74545454545455,23.09090909090909,5.0,23.5,27.381818181818186,7.2727272727272725,53.7,46.199999999999996,10.454545454545455,0.36363636363636365,2.1,0.36363636363636365,10.954545454545455
La Liga,Marko Dmitrović,rs SRB,30,89.46043165467626,3.553956834532374,1.3453237410071943,2.2158273381294964,63.21438848920863,1.2237410071942447,8.23021582733813,22.755395683453237,37.174100719424466,24.9568345323741,2.776978417266187,68.53525179856115,49.537410071942446,6.467625899280575,89.67985611510791,67.23021582733813,10.913669064748202,0.60431654676259,6.312230215827337,2.1007194244604315,17.099999999999998
La Liga,Ivo Grbić,hr CRO,26,83.96,3.76,1.2,2.6,68.59599999999999,1.04,4.36,12.88,33.052,19.32,3.8,44.724,36.532000000000004,7.56,61.76,47.00800000000001,14.12,0.92,6.007999999999999,0.52,9.776
La Liga,Leandro Cabrera,uy URU,31,3.5,0.5,0.5,0.0,0.0,0.25,2.0,5.0,20.0,5.0,0.0,40.0,23.0,1.0,50.0,37.75,0.0,0.0,0.0,0.5,7.0
